選手名,best_nine,年齢,年数,身長,体重,年俸(推定),打率,試合,打席数,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,敬遠,死球,三振,併殺打,出塁率,長打率,OPS,NOI,GPA,IsoP,IsoD,RC,RC27,XR,XR27,BABIP,SecA,TA,本塁打率,三振率,四球率,PSN,BB/K,守備_内野手,守備_外野手,守備_投手,守備_捕手,投打_右両,投打_右右,投打_右左,投打_左右,投打_左左
浅村　栄斗,0,21.0,3.0,181.0,78.0,750.0,0.268,137.0,498.0,437.0,48.0,117.0,17.0,3.0,9.0,167.0,45.0,7.0,2.0,18.0,3.0,37.0,1.0,3.0,52.0,8.0,0.327,0.382,0.7090000000000001,0.45399999999999996,0.243,0.114,0.059000000000000004,56.53,4.35,56.1,4.32,0.272,0.21100000000000002,0.642,48.56,9.58,13.46,7.88,0.71,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
星　秀和,0,25.0,7.0,180.0,92.0,650.0,0.0,3.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27,-1.85,-0.25,-1.69,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
米野　智人,0,29.0,12.0,183.0,85.0,1600.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
岳野　竜也,0,25.0,3.0,180.0,90.0,700.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.54,-4.86,-0.56,-5.04,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
ブラウン,0,33.0,2.0,183.0,98.0,6000.0,0.155,21.0,65.0,58.0,3.0,9.0,2.0,0.0,0.0,11.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,16.0,0.0,0.24600000000000002,0.19,0.436,0.309,0.158,0.034,0.091,2.46,1.36,2.78,1.53,0.214,0.121,0.3670000000000001,0.0,4.06,13.0,0.0,0.31,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
原　拓也,0,27.0,5.0,175.0,78.0,2000.0,0.24100000000000002,104.0,348.0,270.0,40.0,65.0,11.0,1.0,0.0,78.0,12.0,0.0,0.0,51.0,2.0,22.0,0.0,3.0,43.0,5.0,0.303,0.289,0.5920000000000001,0.39899999999999997,0.209,0.048,0.062,26.23,2.69,26.1,2.68,0.23199999999999998,0.13,0.49,0.0,8.09,15.82,0.0,0.51,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
高山　久,0,30.0,12.0,177.0,84.0,2600.0,0.196,19.0,49.0,46.0,2.0,9.0,2.0,0.0,0.0,11.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,17.0,0.0,0.245,0.239,0.484,0.325,0.17,0.043,0.049,2.41,1.76,2.49,1.82,0.31,0.087,0.37799999999999995,0.0,2.88,24.5,0.0,0.12,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Ｇ．Ｇ．佐藤,0,33.0,8.0,184.0,98.0,6300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
上本　達之,0,31.0,9.0,186.0,92.0,2000.0,0.145,44.0,77.0,69.0,4.0,10.0,1.0,0.0,1.0,14.0,7.0,1.0,0.0,3.0,0.0,4.0,0.0,1.0,24.0,0.0,0.203,0.203,0.406,0.27,0.142,0.057999999999999996,0.057999999999999996,2.15,0.93,2.66,1.16,0.191,0.13,0.33899999999999997,69.0,3.21,19.25,1.0,0.17,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
大島　裕行,0,30.0,12.0,180.0,85.0,1400.0,0.19399999999999998,26.0,70.0,62.0,0.0,12.0,1.0,0.0,0.0,13.0,3.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0,11.0,1.0,0.265,0.21,0.474,0.335,0.172,0.016,0.071,3.16,1.61,3.38,1.72,0.226,0.113,0.373,0.0,6.36,11.67,0.0,0.55,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
フェルナンデス,1,37.0,9.0,192.0,100.0,6000.0,0.259,142.0,577.0,529.0,49.0,137.0,21.0,0.0,17.0,209.0,81.0,3.0,3.0,0.0,7.0,39.0,4.0,2.0,84.0,19.0,0.308,0.395,0.7040000000000001,0.44,0.23800000000000002,0.136,0.05,60.4,3.87,61.87,3.97,0.276,0.21,0.604,31.12,6.87,14.79,5.1,0.46,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
石川　貢,0,20.0,2.0,180.0,80.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
