選手名,best_nine,年齢,年数,身長,体重,年俸(推定),打率,試合,打席数,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,敬遠,死球,三振,併殺打,出塁率,長打率,OPS,NOI,GPA,IsoP,IsoD,RC,RC27,XR,XR27,BABIP,SecA,TA,本塁打率,三振率,四球率,PSN,BB/K,守備_内野手,守備_外野手,守備_投手,守備_捕手,投打_右両,投打_右右,投打_右左,投打_左右,投打_左左
早川　大輔,0,34.0,8.0,177.0,77.0,4600.0,0.223,84.0,189.0,175.0,30.0,39.0,6.0,1.0,1.0,50.0,12.0,5.0,4.0,6.0,1.0,6.0,0.0,1.0,34.0,0.0,0.251,0.28600000000000003,0.537,0.34700000000000003,0.185,0.063,0.028999999999999998,11.91,2.19,12.4,2.28,0.259,0.10300000000000001,0.414,175.0,5.56,31.5,1.67,0.18,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
バーナム・ジュニア,0,35.0,1.0,180.0,99.0,1300.0,0.218,73.0,179.0,147.0,14.0,32.0,7.0,1.0,4.0,53.0,22.0,1.0,0.0,1.0,1.0,20.0,0.0,10.0,37.0,4.0,0.348,0.361,0.7090000000000001,0.46799999999999997,0.247,0.14300000000000002,0.131,20.01,4.47,20.5,4.57,0.259,0.28600000000000003,0.706,36.75,4.84,8.95,1.6,0.54,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ベニー,0,38.0,6.0,183.0,100.0,13000.0,0.265,95.0,320.0,272.0,23.0,72.0,14.0,1.0,7.0,109.0,31.0,0.0,3.0,0.0,3.0,44.0,1.0,1.0,59.0,8.0,0.366,0.401,0.7659999999999999,0.499,0.265,0.136,0.10099999999999999,39.91,5.04,40.13,5.06,0.311,0.287,0.716,38.86,5.42,7.27,0.0,0.75,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
塀内　久雄,0,28.0,10.0,180.0,82.0,1220.0,0.302,54.0,108.0,96.0,17.0,29.0,4.0,0.0,4.0,45.0,10.0,0.0,0.0,2.0,0.0,8.0,0.0,2.0,31.0,2.0,0.368,0.469,0.8370000000000001,0.524,0.28300000000000003,0.16699999999999998,0.066,16.08,6.11,15.6,5.93,0.397,0.25,0.797,24.0,3.48,13.5,0.0,0.26,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
神戸　拓光,0,24.0,3.0,191.0,98.0,1120.0,0.125,9.0,18.0,16.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0,0.0,0.17600000000000002,0.125,0.301,0.218,0.111,0.0,0.051,-0.05,-0.08,0.08,0.14,0.16699999999999998,0.063,0.214,0.0,3.6,18.0,0.0,0.2,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
佐藤　賢治,0,21.0,3.0,181.0,78.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
青野　毅,0,26.0,9.0,178.0,83.0,1700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
細谷　圭,0,21.0,4.0,182.0,84.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
角中　勝也,0,22.0,3.0,180.0,80.0,550.0,0.16699999999999998,10.0,21.0,18.0,1.0,3.0,0.0,1.0,0.0,5.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,5.0,0.0,0.25,0.278,0.528,0.34299999999999997,0.182,0.111,0.083,1.48,2.5,1.55,2.62,0.214,0.278,0.5329999999999999,0.0,4.2,10.5,0.0,0.4,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
金澤　岳,0,25.0,7.0,180.0,82.0,740.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.3330000000000002,0.7,0.0,0.0,0.61,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
青松　敬鎔,0,23.0,5.0,185.0,83.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
宮本　裕司,0,26.0,2.0,182.0,85.0,240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
南　竜介,0,28.0,10.0,186.0,88.0,740.0,0.282,15.0,40.0,39.0,6.0,11.0,2.0,1.0,3.0,24.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,1.0,0.3,0.615,0.915,0.505,0.289,0.33299999999999996,0.018000000000000002,6.79,6.32,6.67,6.21,0.308,0.359,0.862,13.0,4.0,40.0,0.0,0.1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
岡田　幸文,0,25.0,1.0,177.0,70.0,240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
新里　賢,0,28.0,6.0,178.0,82.0,780.0,0.25,2.0,5.0,4.0,1.0,1.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.4,0.75,1.15,0.65,0.368,0.5,0.15,0.78,5.23,0.74,5.0,0.25,0.75,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
早坂　圭介,0,25.0,7.0,176.0,63.0,680.0,0.22399999999999998,103.0,249.0,219.0,38.0,49.0,10.0,4.0,1.0,70.0,17.0,12.0,7.0,12.0,1.0,16.0,0.0,1.0,44.0,2.0,0.278,0.32,0.598,0.385,0.205,0.096,0.055,19.71,2.77,19.96,2.81,0.257,0.192,0.514,219.0,5.66,15.56,1.85,0.36,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
定岡　卓摩,0,23.0,5.0,180.0,85.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ムニス,0,33.0,1.0,180.0,90.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
清田　育宏,0,24.0,1.0,180.0,85.0,1500.0,0.29,64.0,223.0,186.0,34.0,54.0,11.0,0.0,2.0,71.0,18.0,5.0,1.0,11.0,1.0,19.0,0.0,6.0,51.0,3.0,0.373,0.382,0.754,0.5,0.263,0.091,0.08199999999999999,28.7,5.24,27.79,5.07,0.359,0.215,0.735,93.0,4.37,11.74,2.86,0.37,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
今岡　誠,0,36.0,14.0,185.0,83.0,1500.0,0.22699999999999998,26.0,45.0,44.0,3.0,10.0,2.0,0.0,0.0,12.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,4.0,0.244,0.273,0.517,0.335,0.17800000000000002,0.045,0.017,1.29,0.92,1.22,0.87,0.244,0.068,0.342,0.0,15.0,45.0,0.0,0.33,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
サブロー,0,34.0,16.0,181.0,85.0,13000.0,0.261,125.0,513.0,452.0,58.0,118.0,15.0,2.0,19.0,194.0,71.0,2.0,1.0,2.0,1.0,56.0,0.0,2.0,118.0,14.0,0.344,0.429,0.774,0.48700000000000004,0.262,0.168,0.083,65.21,5.0,65.27,5.01,0.311,0.294,0.725,23.79,4.35,9.16,3.62,0.47,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
荻野　貴司,0,25.0,1.0,172.0,75.0,1500.0,0.326,46.0,217.0,175.0,29.0,57.0,9.0,2.0,1.0,73.0,17.0,25.0,3.0,21.0,3.0,16.0,1.0,2.0,24.0,2.0,0.38299999999999995,0.41700000000000004,0.8,0.522,0.276,0.091,0.057,33.6,6.17,32.47,5.96,0.322,0.309,0.919,175.0,9.04,13.56,1.92,0.67,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
堀　幸一,0,41.0,23.0,182.0,85.0,3400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
井口　資仁,0,36.0,10.0,178.0,91.0,18000.0,0.294,143.0,650.0,531.0,88.0,156.0,44.0,1.0,17.0,253.0,103.0,2.0,1.0,0.0,7.0,98.0,1.0,14.0,114.0,13.0,0.41200000000000003,0.47600000000000003,0.889,0.5710000000000001,0.305,0.183,0.11900000000000001,107.63,7.34,105.35,7.18,0.342,0.369,0.941,31.24,5.7,6.63,3.58,0.86,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
西岡　剛,1,26.0,8.0,182.0,80.0,17000.0,0.34600000000000003,144.0,692.0,596.0,121.0,206.0,32.0,8.0,11.0,287.0,59.0,22.0,11.0,8.0,5.0,79.0,1.0,4.0,96.0,8.0,0.423,0.48200000000000004,0.904,0.583,0.311,0.136,0.077,122.07,7.81,116.61,7.46,0.38799999999999996,0.287,0.932,54.18,7.21,8.76,14.67,0.82,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
今江　敏晃,0,27.0,9.0,180.0,88.0,10200.0,0.331,140.0,596.0,531.0,74.0,176.0,37.0,1.0,10.0,245.0,77.0,8.0,3.0,30.0,5.0,22.0,0.0,8.0,66.0,10.0,0.364,0.461,0.825,0.518,0.27899999999999997,0.13,0.033,87.81,5.88,83.63,5.6,0.33899999999999997,0.18100000000000002,0.7609999999999999,53.1,9.03,27.09,8.89,0.33,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
福浦　和也,1,35.0,17.0,183.0,88.0,9500.0,0.295,116.0,359.0,322.0,42.0,95.0,19.0,0.0,13.0,153.0,61.0,0.0,0.0,3.0,3.0,28.0,2.0,3.0,47.0,8.0,0.354,0.475,0.8290000000000001,0.512,0.278,0.18,0.059000000000000004,52.8,5.92,51.72,5.79,0.306,0.267,0.7829999999999999,24.77,7.64,12.82,0.0,0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
大松　尚逸,0,28.0,6.0,184.0,90.0,7000.0,0.26,142.0,603.0,534.0,63.0,139.0,24.0,2.0,16.0,215.0,68.0,0.0,3.0,1.0,3.0,56.0,4.0,9.0,99.0,16.0,0.33899999999999997,0.40299999999999997,0.741,0.473,0.253,0.142,0.079,70.86,4.58,70.57,4.56,0.29100000000000004,0.242,0.669,33.38,6.09,10.77,0.0,0.57,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
塀内　久雄,0,29.0,11.0,180.0,82.0,1460.0,0.182,51.0,28.0,22.0,6.0,4.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,8.0,0.0,0.217,0.182,0.39899999999999997,0.278,0.14300000000000002,0.0,0.036000000000000004,0.78,0.91,0.86,1.01,0.21100000000000002,0.045,0.278,0.0,3.5,28.0,0.0,0.13,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
里崎　智也,0,34.0,12.0,175.0,88.0,13000.0,0.263,78.0,295.0,247.0,40.0,65.0,10.0,0.0,10.0,105.0,29.0,1.0,0.0,2.0,1.0,40.0,1.0,5.0,91.0,8.0,0.375,0.425,0.8009999999999999,0.517,0.275,0.162,0.11199999999999999,39.95,5.59,39.87,5.58,0.369,0.32799999999999996,0.795,24.7,3.24,7.38,1.82,0.44,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
大塚　明,0,35.0,17.0,184.0,83.0,2300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
竹原　直隆,0,30.0,6.0,183.0,88.0,2200.0,0.139,40.0,79.0,72.0,6.0,10.0,3.0,0.0,1.0,16.0,7.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,17.0,3.0,0.215,0.222,0.4370000000000001,0.289,0.152,0.083,0.076,1.91,0.79,2.33,0.97,0.16699999999999998,0.19399999999999998,0.369,72.0,4.65,11.29,1.0,0.41,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
根元　俊一,0,27.0,5.0,177.0,75.0,2400.0,0.196,53.0,61.0,51.0,4.0,10.0,2.0,0.0,1.0,15.0,6.0,0.0,0.0,4.0,0.0,5.0,0.0,1.0,19.0,1.0,0.281,0.294,0.575,0.379,0.2,0.098,0.085,4.22,2.48,4.37,2.57,0.257,0.196,0.5,51.0,3.21,12.2,0.0,0.26,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
田中　雅彦,0,28.0,7.0,175.0,75.0,1650.0,0.0,11.0,6.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.96,-3.71,-0.94,-3.63,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
渡辺　正人,0,31.0,13.0,183.0,80.0,1420.0,0.16699999999999998,9.0,8.0,6.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.28600000000000003,0.33299999999999996,0.619,0.397,0.212,0.16699999999999998,0.11900000000000001,0.66,2.98,0.63,2.84,0.25,0.33299999999999996,0.6,0.0,2.67,8.0,0.0,0.33,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
斉藤　俊雄,0,27.0,6.0,180.0,85.0,950.0,0.185,21.0,31.0,27.0,1.0,5.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,11.0,1.0,0.214,0.222,0.4370000000000001,0.28800000000000003,0.152,0.037000000000000005,0.028999999999999998,0.71,0.73,0.74,0.77,0.263,0.07400000000000001,0.304,0.0,2.82,31.0,0.0,0.09,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
翔太,0,19.0,1.0,180.0,78.0,550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
金　泰均,0,28.0,1.0,184.0,100.0,15000.0,0.268,141.0,614.0,527.0,68.0,141.0,22.0,0.0,21.0,226.0,92.0,0.0,0.0,0.0,9.0,74.0,1.0,4.0,140.0,24.0,0.35700000000000004,0.429,0.7859999999999999,0.5,0.268,0.161,0.08900000000000001,78.14,5.04,80.1,5.16,0.32,0.302,0.741,25.1,4.39,8.3,0.0,0.53,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
神戸　拓光,0,25.0,4.0,191.0,98.0,1060.0,0.209,26.0,48.0,43.0,2.0,9.0,1.0,0.0,1.0,13.0,7.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,13.0,0.0,0.271,0.302,0.573,0.3720000000000001,0.19699999999999998,0.09300000000000001,0.062,3.74,2.89,4.14,3.19,0.267,0.163,0.5,43.0,3.69,16.0,0.0,0.23,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
青野　毅,0,27.0,10.0,178.0,83.0,1450.0,0.111,14.0,20.0,18.0,5.0,2.0,0.0,0.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,1.0,0.2,0.278,0.478,0.293,0.159,0.16699999999999998,0.08900000000000001,0.51,0.81,0.76,1.21,0.091,0.278,0.41200000000000003,18.0,3.33,10.0,0.0,0.33,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
細谷　圭,0,22.0,5.0,182.0,84.0,630.0,0.273,6.0,22.0,22.0,4.0,6.0,1.0,0.0,0.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.273,0.318,0.591,0.379,0.20199999999999999,0.045,0.0,1.82,3.07,1.72,2.9,0.4,0.045,0.43799999999999994,0.0,3.14,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
角中　勝也,0,23.0,4.0,180.0,80.0,650.0,0.0,13.0,23.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,6.0,0.0,0.182,0.0,0.182,0.182,0.08199999999999999,0.0,0.182,-0.57,-0.81,-0.27,-0.38,0.0,0.222,0.222,0.0,3.83,5.75,0.0,0.67,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
金澤　岳,0,26.0,8.0,180.0,82.0,740.0,0.5710000000000001,6.0,7.0,7.0,0.0,4.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.5710000000000001,0.5710000000000001,1.143,0.762,0.4,0.0,0.0,1.92,17.32,1.71,15.39,1.0,0.0,1.3330000000000002,0.0,2.33,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
青松　敬鎔,0,24.0,6.0,185.0,83.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
宮本　裕司,0,27.0,3.0,182.0,85.0,440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
南　竜介,0,29.0,11.0,186.0,88.0,1150.0,0.205,57.0,95.0,83.0,16.0,17.0,2.0,0.0,1.0,22.0,4.0,3.0,0.0,1.0,0.0,9.0,0.0,2.0,23.0,2.0,0.298,0.265,0.563,0.386,0.2,0.06,0.09300000000000001,7.07,2.77,7.34,2.87,0.267,0.205,0.529,83.0,4.13,10.56,1.5,0.39,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
岡田　幸文,0,26.0,2.0,177.0,70.0,440.0,0.17600000000000002,72.0,161.0,142.0,19.0,25.0,2.0,0.0,0.0,27.0,8.0,15.0,6.0,9.0,1.0,8.0,0.0,1.0,15.0,2.0,0.22399999999999998,0.19,0.414,0.287,0.14800000000000002,0.013999999999999999,0.048,5.03,1.01,6.12,1.22,0.182,0.134,0.36,0.0,10.73,20.13,0.0,0.53,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
的場　直樹,0,33.0,11.0,179.0,87.0,750.0,0.16,74.0,209.0,188.0,14.0,30.0,5.0,1.0,1.0,40.0,19.0,0.0,0.0,6.0,2.0,13.0,0.0,0.0,61.0,6.0,0.212,0.213,0.425,0.28300000000000003,0.149,0.053,0.052000000000000005,4.54,0.71,6.05,0.95,0.21600000000000005,0.122,0.32299999999999995,188.0,3.43,16.08,0.0,0.21,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
早坂　圭介,0,26.0,8.0,176.0,63.0,1500.0,0.25,16.0,29.0,24.0,5.0,6.0,0.0,0.0,0.0,6.0,3.0,3.0,1.0,3.0,0.0,1.0,0.0,1.0,3.0,1.0,0.308,0.25,0.5579999999999999,0.391,0.201,0.0,0.057999999999999996,1.98,2.32,2.01,2.36,0.25,0.125,0.5,0.0,9.67,29.0,0.0,0.33,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
定岡　卓摩,0,24.0,6.0,180.0,85.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ムニス,0,34.0,2.0,180.0,90.0,500.0,0.136,14.0,24.0,22.0,1.0,3.0,1.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,1.0,0.16699999999999998,0.182,0.348,0.22699999999999998,0.12,0.045,0.03,0.08,0.1,0.49,0.63,0.16699999999999998,0.136,0.3,0.0,4.8,24.0,0.0,0.2,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
高濱　卓也,0,22.0,4.0,184.0,84.0,750.0,0.20800000000000002,19.0,56.0,48.0,4.0,10.0,1.0,0.0,0.0,11.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,21.0,0.0,0.22399999999999998,0.22899999999999998,0.45399999999999996,0.301,0.158,0.021,0.016,2.2,1.32,2.25,1.35,0.294,0.042,0.316,0.0,2.67,56.0,0.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
清田　育宏,0,25.0,2.0,180.0,85.0,2500.0,0.244,78.0,262.0,238.0,16.0,58.0,21.0,0.0,3.0,88.0,25.0,2.0,1.0,3.0,3.0,15.0,0.0,3.0,63.0,2.0,0.293,0.37,0.6629999999999999,0.41700000000000004,0.22399999999999998,0.126,0.05,26.48,3.78,26.39,3.77,0.309,0.193,0.585,79.33,4.16,17.47,2.4,0.24,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
今岡　誠,0,37.0,15.0,185.0,83.0,1500.0,0.13,13.0,26.0,23.0,2.0,3.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,3.0,0.0,0.2,0.174,0.374,0.258,0.133,0.043,0.07,0.5,0.64,0.62,0.8,0.14300000000000002,0.13,0.3,0.0,8.67,13.0,0.0,0.67,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
工藤　隆人,0,30.0,7.0,171.0,73.0,2000.0,0.2,53.0,112.0,100.0,7.0,20.0,3.0,1.0,0.0,25.0,5.0,3.0,1.0,5.0,0.0,4.0,0.0,3.0,21.0,0.0,0.252,0.25,0.502,0.336,0.17600000000000002,0.05,0.052000000000000005,6.46,2.03,6.63,2.08,0.23800000000000002,0.11,0.42,0.0,5.33,28.0,0.0,0.19,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
荻野　貴司,0,26.0,2.0,172.0,75.0,2500.0,0.264,23.0,103.0,91.0,14.0,24.0,4.0,0.0,0.0,28.0,10.0,14.0,1.0,3.0,1.0,7.0,0.0,1.0,6.0,1.0,0.32,0.308,0.628,0.423,0.221,0.044000000000000004,0.055999999999999994,11.95,4.42,11.84,4.38,0.27,0.264,0.71,0.0,17.17,14.71,0.0,1.17,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
伊志嶺　翔大,0,23.0,1.0,179.0,78.0,1500.0,0.261,126.0,492.0,422.0,52.0,110.0,16.0,6.0,2.0,144.0,21.0,32.0,6.0,27.0,0.0,30.0,0.0,13.0,77.0,3.0,0.32899999999999996,0.341,0.67,0.44299999999999995,0.233,0.081,0.068,54.95,4.26,53.37,4.14,0.292,0.213,0.664,211.0,6.39,16.4,3.76,0.39,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
井口　資仁,0,37.0,11.0,178.0,91.0,18000.0,0.265,140.0,597.0,509.0,52.0,135.0,23.0,3.0,9.0,191.0,73.0,1.0,1.0,0.0,7.0,72.0,4.0,9.0,96.0,11.0,0.36200000000000004,0.375,0.737,0.48700000000000004,0.257,0.11,0.09699999999999999,73.35,5.04,73.77,5.07,0.307,0.251,0.705,56.56,6.22,8.29,1.8,0.75,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
今江　敏晃,0,28.0,10.0,180.0,88.0,14700.0,0.26899999999999996,134.0,543.0,499.0,53.0,134.0,30.0,1.0,8.0,190.0,51.0,2.0,1.0,10.0,6.0,20.0,0.0,8.0,48.0,13.0,0.304,0.381,0.685,0.431,0.23199999999999998,0.11199999999999999,0.035,56.09,3.83,55.8,3.81,0.275,0.154,0.578,62.38,11.31,27.15,3.2,0.42,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
